To/From,void,ubyte,byte,char,ushort,short,uint,int,wchar,ulong,long,float,double,bool,struct,union,enum,typedef,const,array,ptr,function ptr,aggregate init
void,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ubyte,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
byte,FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
char,FALSE,FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
ushort,FALSE,TRUE (zx 1->2),FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
short,FALSE,TRUE (zx 1->2),TRUE (sx 1->2),FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
uint,FALSE,TRUE (zx 1->4),FALSE,FALSE,TRUE (zx 2->4),FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
int,FALSE,TRUE (zx 1->4),TRUE (sx 1->4),FALSE,TRUE (zx 2->4),TRUE (sx 2->4),FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
wchar,FALSE,FALSE,FALSE,TRUE (zx 1->4),FALSE,FALSE,FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
ulong,FALSE,TRUE (zx 1->8),FALSE,FALSE,TRUE (zx 2->8),FALSE,TRUE (zx 4->8),FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
long,FALSE,TRUE (zx 1->8),TRUE (sx 1->8),FALSE,TRUE (zx 2->8),TRUE (sx 2->8),TRUE (zx 4->8),TRUE (sx 4->8),FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
float,FALSE,TRUE (ubyte to float),TRUE (byte to float),FALSE,TRUE (ushort to float),TRUE (short to float),TRUE (uint to float),TRUE (int to float),FALSE,TRUE (ulong to float),TRUE (long to float),TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
double,FALSE,TRUE (ubyte to double),TRUE (byte to double),FALSE,TRUE (ushort to double),TRUE (short to double),TRUE (uint to double),TRUE (int to float),FALSE,TRUE (ulong to double),TRUE (long to double),TRUE (float to double),TRUE (identity),FALSE,FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
bool,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE (identity),FALSE,FALSE,FALSE,FALSE,if non-const is assignable (same cast as const),FALSE,FALSE,FALSE,FALSE
