To/From,void,ubyte,byte,char,ushort,short,uint,int,wchar,ulong,long,float,double,bool,struct,union,enum,typedef,const,array,ptr,function ptr,aggregate init
void,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ubyte,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
byte,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
char,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,if union element castable to type,FALSE,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
ushort,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
short,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
uint,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
int,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
wchar,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,if union element castable to type,FALSE,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
ulong,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,TRUE,TRUE,FALSE
long,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,if enum is small enough,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
float,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,if union element castable to type,FALSE,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
double,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,if union element castable to type,FALSE,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
bool,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,if union element castable to type,FALSE,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,FALSE
struct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,if same struct,if union element castable to type,FALSE,if typedfed type castable,if internal type castable,FALSE,FALSE,FALSE,if assignable
union,FALSE,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,If type is castable to union element,"If type is castable to union element, or same union, or union element castable to type",If type is castable to union element,"If type is castable to union element, or if typedfed type castable","If type is castable to union element, or if internal type castable ",If type is castable to union element,If type is castable to union element,If type is castable to union element,FALSE
