"Note: Conversion type is indicated in the cell. If the cell is blank, then no assignment may be performed. Invalid base types are omitted.",,,,,,,,,,,,,,,,,,,,,,
To\From,void,ubyte,byte,char,ushort,short,uint,int,wchar,ulong,long,float,double,bool,Structure Types,Union Types,Enumeration Types,Type Aliases,Constant Types,Array Types,Pointer Types,Function Pointer Types
void,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,no conversion,,no conversion,no conversion,no conversion
ubyte,no conversion,no conversion,,,,,,,,,,,,,,,,,,,,
byte,no conversion,,no conversion,,,,,,,,,,,,,,,,,,,
char,no conversion,,,no conversion,,,,,,,,,,,,,,,,,,
ushort,no conversion,,,,no conversion,,,,,,,,,,,,,,,,,
short,no conversion,,,,,no conversion,,,,,,,,,,,,,,,,
uint,no conversion,,,,,,no conversion,,,,,,,,,,,,,,,
int,no conversion,,,,,,,no conversion,,,,,,,,,,,,,,
wchar,no conversion,,,,,,,,no conversion,,,,,,,,,,,,,
ulong,no conversion,,,,,,,,,no conversion,,,,,,,,,,,,
long,no conversion,,,,,,,,,,no conversion,,,,,,,,,,,
float,no conversion,,,,,,,,,,,no conversion,,,,,,,,,,
double,no conversion,,,,,,,,,,,,no conversion,,,,,,,,,
bool,no conversion,,,,,,,,,,,,,no conversion,,,,,,,,
Structure Types,no conversion,,,,,,,,,,,,,,"no conversion, only if same exact type",,,,,,,
Union Types,no conversion,,,,,,,,,,,,,,,"no conversion, only if same exact type",,,,,,
Enumeration Types,no conversion,,,,,,,,,,,,,,,,"no conversion, only if same exact type",,,,,
Type Aliases,no conversion,,,,,,,,,,,,,,,,,"no conversion, only if same exact type",,,,
Constant Types,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type,use assignment of base type
Array Types,no conversion,,,,,,,,,,,,,,,,,,,"no conversion, only if same exact type",,
Pointer Types,no conversion,,,,,,,,,,,,,,,,,,,,"no conversion, only if same exact type",
Function Pointer Types,no conversion,,,,,,,,,,,,,,,,,,,,,"no conversion, only if same exact type"
