"Note: Common type used for comparison, if any is indicated in the cell. If the cell is blank, then no merging may be performed. Invalid base types are omitted.",,,,,,,,,,,,,,,,,,,,,,
Left Hand Side\Right Hand Side,ubyte,byte,char,ushort,short,uint,int,wchar,ulong,long,float,double,bool,Structure Types,Union Types,Enumeration Types,Type Aliases,Constant Types,Volatile Types,Array Types,Pointer Types,Function Pointer Types
ubyte,ubyte,short,,ushort,short,uint,int,,ulong,long,float,double,,,,,,merged base types,merged base types,,,
byte,short,byte,,int,short,long,int,,,long,float,double,,,,,,merged base types,merged base types,,,
char,,,char,,,,,wchar,,,,,,,,,,merged base types,merged base types,,,
ushort,ushort,int,,ushort,int,uint,int,,ulong,long,float,double,,,,,,merged base types,merged base types,,,
short,short,short,,int,short,long,int,,,long,float,double,,,,,,merged base types,merged base types,,,
uint,uint,long,,uint,long,uint,long,,ulong,long,float,double,,,,,,merged base types,merged base types,,,
int,int,int,,long,int,long,int,,,long,float,double,,,,,,merged base types,merged base types,,,
wchar,,,wchar,,,,,wchar,,,,,,,,,,merged base types,merged base types,,,
ulong,ulong,,,ulong,,ulong,,,ulong,,float,double,,,,,,merged base types,merged base types,,,
long,long,long,,long,long,long,long,,,long,float,double,,,,,,merged base types,merged base types,,,
float,float,float,,float,float,float,float,,float,float,float,double,,,,,,merged base types,merged base types,,,
double,double,double,,double,double,double,double,,double,double,double,double,,,,,,merged base types,merged base types,,,
bool,,,,,,,,,,,,,bool,,,,,merged base types,merged base types,,,
Structure Types,,,,,,,,,,,,,,,,,,merged base types,merged base types,,,
Union Types,,,,,,,,,,,,,,,,,,merged base types,merged base types,,,
Enumeration Types,,,,,,,,,,,,,,,,"both sides must have the same type, result has the same type as inputs",,merged base types,merged base types,,,
Type Aliases,,,,,,,,,,,,,,,,,,merged base types,merged base types,,,
Constant Types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types
Volatile Types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types,merged base types
Array Types,,,,,,,,,,,,,,,,,,merged base types,merged base types,,,
Pointer Types,,,,,,,,,,,,,,,,,,merged base types,merged base types,,no conversion (1),
Function Pointer Types,,,,,,,,,,,,,,,,,,merged base types,merged base types,,,no conversion (1)
,,,,,,,,,,,,,,,,,,,,,,
"(1) Comparison between pointers is always meaningful – pointers are always unsigned integers. Data pointer to function pointer comparisons are not necessarily valid, but if valid, an explicit cast is still demanded; such comparisons are a bad code smell.",,,,,,,,,,,,,,,,,,,,,,
